Sl. No,Payment/Receipt,Department,Head,Sub-Head,P/R Code,Work description,Accounts 2017-18,Budget Estimates 2018-19,Revised Estimates 2018-19,2019-20 Revenue,2019-20 Capital,2019-20 Total
1,Receipt,01. Council,Non Tax Receipts,Other Fees,R1062 ,Right to Information Fee,0.05,1,0.5,0.5,-,0.5
2,Receipt,01. Council,Non Tax Receipts,Other Fees,Total,Total of Council Department,0.05,1,0.5,0.5,0,0.5
3,Receipt,02. GAD - Management,Non Tax Receipts,Other Fees,R1062 ,Right to Information Fee,4.07,2,4,4,-,4
4,Receipt,02. GAD - Management,Non Tax Receipts,Other Income,R0161 ,Sale of Booklets and Money Value forms,0.5,1,1,1,-,1
5,Receipt,02. GAD - Management,Non Tax Receipts,Other Income,Total,Total of General Administration Department,4.57,3,5,5,0,5
6,Receipt,03. Finance and Accounts,Non Tax Receipts,Other Income,R0157 ,Misc Receipts - All Other Departments,"6,307.51","10,000.00","7,000.00","10,000.00",-,"10,000.00"
7,Receipt,03. Finance and Accounts,Non Tax Receipts,Other Income,R0155 ,Interest from Bank Deposits,"9,881.13","10,000.00","10,000.00","9,000.00",-,"9,000.00"
8,Receipt,03. Finance and Accounts,Non Tax Receipts,Other Income,R0192 ,Service Charges on Cesses Collected on behalf of Govt.,-,25,10,15,-,15
9,Receipt,03. Finance and Accounts,Recovery /Refunds,Deposits,R0006 ,EMD,202.25,150,150,500,-,500
10,Receipt,03. Finance and Accounts,Recovery /Refunds,Deposits,R0009 ,Security Deposits - All Departments,"1,932.00","5,000.00","5,000.00","15,000.00",-,"15,000.00"
11,Receipt,03. Finance and Accounts,Recovery /Refunds,Deposits,R0008 ,Misc. Deposits,447.73,"2,500.00","2,500.00","6,111.00",-,"6,111.00"
12,Receipt,03. Finance and Accounts,Govt. Grants,GOI Grants,R0941 ,14th Finance Commission’s Grant,"26,529.64","30,172.00","30,172.52",-,"40,576.00","40,576.00"
13,Receipt,03. Finance and Accounts,Govt. Grants,GOI Grants,R1081 ,Swachha Bharath Abhiyana Grant,"1,000.00",-,-,-,-,-
14,Receipt,03. Finance and Accounts,Govt. Grants,GOI Grants,R0027 ,MP LAD Grants,-,1,-,-,-,-
15,Receipt,03. Finance and Accounts,Govt. Grants,GOI Grants,R1083 ,RMSA Rastriya Madyamika Shikshana Abhiyana [High School),-,15,-,-,-,-
16,Receipt,03. Finance and Accounts,Govt. Grants,GOI Grants,R1082 ,National Urban Health Mission Grants,-,500,-,-,-,-
17,Receipt,03. Finance and Accounts,Govt. Grants,GOK Grants,R0031 ,Grants - BBMP/State Election,-,"1,500.00",-,-,-,-
18,Receipt,03. Finance and Accounts,Govt. Grants,GOK Grants,R0026 ,MLA LAD Grants,-,1,-,-,-,-
19,Receipt,03. Finance and Accounts,Govt. Grants,GOK Grants,R1073 ,SFC Tied Grants Salary,"29,306.90","32,165.00","43,265.00","40,976.00",-,"40,976.00"
20,Receipt,03. Finance and Accounts,Govt. Grants,GOK Grants,R1074 ,SFC Untied Grants,"23,460.00","27,210.00","20,407.20","23,358.00",-,"23,358.00"
