Sl. No,Payment/Receipt,Department,Head,Sub-Head,P/R Code,Work description,Accounts 2018-19,Budget Estimates 2019-20,Revised Estimates 2019-20,2020-21 Revenue ,2020-21 Capital,2020-21 Total
1,Receipts,01. Council,Non Tax Receipts,Other Fees,R1062 ,Right to Information Fee,0.38,0.5,0.5,0.5,-,0.5
2,Receipts,01. Council,Non Tax Receipts,Other Fees,-,Sub Total,0.38,0.5,0.5,0.5,0,0.5
3,Receipts,01. Council,Total,Total,-,Total of Council Department,0.38,0.5,0.5,0.5,0,0.5
4,Receipts,02. GAD Management,Non Tax Receipts,Other Fees,R1062 ,Right to Information Fee,4,4,4,4.5,-,4.5
5,Receipts,02. GAD Management,Non Tax Receipts,Other Fees,-,Sub Total,4,4,4,4.5,0,4.5
6,Receipts,02. GAD Management,Non Tax Receipts,Other Income,R0161 ,Sale of Booklets and Money Value forms,1.4,1,0.5,1,-,1
7,Receipts,02. GAD Management,Non Tax Receipts,Other Income,-,Sub Total,1.4,1,0.5,1,0,1
8,Receipts,02. GAD Management,Total,Total,-,Total of GAD - Management Dept,5.4,5,4.5,5.5,0,5.5
9,Receipts,03. Finance and Accounts,Non Tax Receipts,Other Income,R0157 ,Misc Receipts - All Other Departments,"2,425.49","10,000.00","2,000.00","6,000.00",-,"6,000.00"
10,Receipts,03. Finance and Accounts,Non Tax Receipts,Other Income,R0155 ,Interest from Bank Deposits,"10,598.24","9,000.00","9,000.00","10,000.00",-,"10,000.00"
11,Receipts,03. Finance and Accounts,Non Tax Receipts,Other Income,R0192 ,Service Charges on Cesses Collected on behalf of Govt.,40.04,15,15,20,-,20
12,Receipts,03. Finance and Accounts,Non Tax Receipts,Other Income,-,Sub Total,"13,063.77","19,015.00","11,015.00","16,020.00",0,"16,020.00"
13,Receipts,03. Finance and Accounts,Recovery/Refunds,Deposits,R0006 ,EMD,507.31,500,800,"2,000.00",-,"2,000.00"
