election,pc_code,myneta_candidate_id,state,constituency,mp_name_source,mp_name_roster,source_party,roster_party,resolution,rationale,reviewed_by
LokSabha2024,5-4,997,UTTARAKHAND,NAINITAL-UDHAM SINGH NAGAR,Ajay Bhatt,Ajay Bhatt,BJP,BJP,accept,"seat resolved by the committed alias myneta:446 (crosswalk spells it 'Nainital-Udhamsingh Nagar'); BJP = BJP, no party dispute",bharatnyusta
LokSabha2024,5-5,277,UTTARAKHAND,HARIDWAR,Trivendra Singh Rawat,Trivendra Singh Rawat,BJP,BJP,accept,"seat resolved by the committed alias myneta:447 (crosswalk spells it 'Hardwar'); BJP = BJP, no party dispute",bharatnyusta
LokSabha2024,9-5,39,UTTAR PRADESH,NAGINA (SC),Chandrashekhar,Chandra Shekhar,Aazad Samaj Party (Kanshi Ram),ASP (KR),map_to:ASP (KR),"same party, two transliterations of Azad: myneta 'Aazad Samaj Party (Kanshi Ram)' vs roster 'ASP (KR)'; Chandrashekhar Azad won Nagina 2024 on the ASP(KR) ticket",bharatnyusta
LokSabha2024,17-1,344,MEGHALAYA,SHILLONG (ST),Dr. Ricky Andrew J. Syngkon,Ricky Andrew J Syngkon,Voice of the People Party,VPP,map_to:VPP,"same party spelled out: myneta carries the full name 'Voice of the People Party' where the roster carries the abbreviation VPP; the seat's roster row is status='Died', so the loader had no sitting row to corroborate against",bharatnyusta
LokSabha2024,18-9,2763,ASSAM,NAGAON,Pradyut Bordoloi,Pradyut Bordoloi,INC,INC,accept,"INC = INC, no party dispute; the seat's roster row is status='Resigned', so the loader's sitting-MP corroboration had nothing to compare",bharatnyusta
LokSabha2024,19-1,957,WEST BENGAL,COOCH BEHAR (SC),Jagadish Chandra Barma Basunia,Jagadish Chandra Barma Basunia,AITC,AITC,accept,"seat resolved by the committed alias myneta:534 (crosswalk spells it 'Coochbehar'); AITC = AITC, no party dispute",bharatnyusta
LokSabha2024,19-18,8990,WEST BENGAL,BASIRHAT,Sk Nurul Islam,Nurul Islam,AITC,AITC,accept,"AITC = AITC, no party dispute; the seat's roster row is status='Died' (the 2024 winner died in office), so the loader had no sitting row to corroborate",bharatnyusta
LokSabha2024,19-39,5195,WEST BENGAL,BURDWAN - DURGAPUR,Azad Kirti Jha,Azad Kirti Jha,AITC,AITC,accept,"seat resolved by the committed alias myneta:549 (crosswalk spells it 'Bardhaman-Durgapur'); AITC = AITC, no party dispute",bharatnyusta
LokSabha2024,25-1,3667,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN & DIU,Patel Umeshbhai Babubhai,Patel Umeshbhai Babubhai,IND,Ind.,accept,"IND = Ind., both sides say Independent; the labels differ only by the roster's trailing full stop",bharatnyusta
LokSabha2024,26-2,3666,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADAR & NAGAR HAVELI (ST),Delkar Kalaben Mohanbhai,Delkar Kalaben Mohanbhai,BJP,BJP,accept,"seat resolved by the committed alias myneta:102 (Dadra & Nagar Haveli ST seat, DataMeet st_code 26); BJP = BJP, no party dispute",bharatnyusta
LokSabha2024,27-14,1978,MAHARASHTRA,YAVATMAL - WASHIM,Sanjay Uttamrao Deshmukh,Sanjay Uttamrao Deshmukh,ShivSena (Uddhav Balasaheb Thackeray),SS,map_to:SHSUBT,"Sanjay Deshmukh won Yavatmal-Washim 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-15,2408,MAHARASHTRA,HINGOLI,Aashtikar Patil Nagesh Bapurao,Aashtikar Patil Nagesh Bapurao,ShivSena (Uddhav Balasaheb Thackeray),SS,map_to:SHSUBT,"Nagesh Bapurao Patil Ashtikar won Hingoli 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-17,2435,MAHARASHTRA,PARBHANI,Jadhav Sanjay ( Bandu ) Haribhau,Sanjay Haribhau Jadhav,ShivSena (Uddhav Balasaheb Thackeray),SS,map_to:SHSUBT,"Sanjay Haribhau Jadhav won Parbhani 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-21,7124,MAHARASHTRA,NASHIK,Rajabhau (Parag) Prakash Waje,Rajabhau Parag Prakash Waje,ShivSena (Uddhav Balasaheb Thackeray),SHSUBT,map_to:SHSUBT,"Rajabhau Waje won Nashik 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-28,7094,MAHARASHTRA,MUMBAI NORTH - EAST,Sanjay Dina Patil,Sanjay Dina Patil,ShivSena (Uddhav Balasaheb Thackeray),SS,map_to:SHSUBT,"Sanjay Dina Patil won Mumbai North East 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-30,7098,MAHARASHTRA,MUMBAI SOUTH - CENTRAL,Anil Yeshwant Desai,Anil Yeshwant Desai,ShivSena (Uddhav Balasaheb Thackeray),SHSUBT,map_to:SHSUBT,"Anil Desai won Mumbai South Central 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-31,7097,MAHARASHTRA,MUMBAI SOUTH,Arvind Ganpat Sawant,Arvind Ganpat Sawant,ShivSena (Uddhav Balasaheb Thackeray),SHSUBT,map_to:SHSUBT,"Arvind Sawant won Mumbai South 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-38,5331,MAHARASHTRA,SHIRDI (SC),Bhausaheb Rajaram Wakchaure,Bhausaheb Rajaram Wakchaure,ShivSena (Uddhav Balasaheb Thackeray),SS,map_to:SHSUBT,"Bhausaheb Wakchaure won Shirdi 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-40,3849,MAHARASHTRA,OSMANABAD,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,ShivSena (Uddhav Balasaheb Thackeray),SS,map_to:SHSUBT,"Omprakash 'Pavan' Rajenimbalkar won Osmanabad/Dharashiv 2024 for Shiv Sena (UBT); the affidavit's own party field (ShivSena (Uddhav Balasaheb Thackeray)) is the faction the candidate actually contested on, so it wins over the roster's generic label — SHSUBT is the abbreviation sansad itself uses for the other UBT seats",bharatnyusta
LokSabha2024,27-48,3537,MAHARASHTRA,HATKANANGALE,Dhairyasheel Sambhajirao Mane,Dhairyasheel Sambhajirao Mane,Shiv Sena,SS,map_to:SS,Shinde-faction Shiv Sena: myneta puts the full name 'Shiv Sena' in the abbreviation field where the roster says SS; Dhairyasheel Mane won Hatkanangle 2024 for Shiv Sena (Shinde),bharatnyusta
LokSabha2024,34-1,531,PUDUCHERRY,PUDUCHERRY,Ve Vaithilingam,Ve Vaithilingam,INC,INC,accept,"seat resolved by the committed alias myneta:338 (crosswalk spells it 'Pondicherry'); INC = INC, no party dispute",bharatnyusta
LokSabha2024,35-1,17,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Bishnu Pada Ray,Bishnu Pada Ray,BJP,BJP,accept,"seat resolved by the committed alias myneta:579 (crosswalk spells it 'Andaman & Nicobar'); BJP = BJP, no party dispute",bharatnyusta
LokSabha2024,37-1,5099,ANDHRA PRADESH,ARAKU (ST),Gumma Thanuja Rani,Gumma Thanuja Rani,YSRCP,YSR Congress Party,accept,"same party, abbreviation vs expansion: myneta 'YSRCP' vs roster 'YSR Congress Party'; YSRCP won exactly four LS seats in 2024 (Araku, Kadapa, Tirupati, Rajampet) and this is one of them",bharatnyusta
LokSabha2024,37-14,5116,ANDHRA PRADESH,NARSARAOPET,Lavu Srikrishna Devarayalu,Lavu Sri Krishna Devarayalu,TDP,TDP,accept,"seat resolved by the committed alias myneta:14 (transliteration of Narasaraopet); TDP = TDP, no party dispute",bharatnyusta
LokSabha2024,37-19,5097,ANDHRA PRADESH,ANANTHAPUR,Ambica G Lakshminarayana Valmiki,G Lakshminarayana,TDP,TDP,accept,"seat resolved by the committed alias myneta:20 (transliteration of Anantapur); TDP = TDP, no party dispute",bharatnyusta
LokSabha2024,37-21,5111,ANDHRA PRADESH,KADAPA,Y. S. Avinash Reddy,Y S Avinash Reddy,YSRCP,YSR Congress Party,accept,"same party, abbreviation vs expansion: myneta 'YSRCP' vs roster 'YSR Congress Party'; Y S Avinash Reddy retained Kadapa for YSRCP in 2024",bharatnyusta
LokSabha2024,37-23,5125,ANDHRA PRADESH,THIRUPATHI (SC),Gurumoorthy Maddila,Maddila Gurumoorthy,YSRCP,YSR Congress Party,accept,"same party, abbreviation vs expansion: myneta 'YSRCP' vs roster 'YSR Congress Party'; Maddila Gurumoorthy won Tirupati for YSRCP in 2024 (seat resolved by the committed alias myneta:24)",bharatnyusta
LokSabha2024,37-24,5123,ANDHRA PRADESH,RAJAMPET,P V Midhun Reddy,P V Midhun Reddy,YSRCP,YSR Congress Party,accept,"same party, abbreviation vs expansion: myneta 'YSRCP' vs roster 'YSR Congress Party'; P V Midhun Reddy retained Rajampet for YSRCP in 2024",bharatnyusta
