report_month,fyear,month_name,paimana_id,part,filename,archive_path
2001-04,2001-02,April,1299,,FR_April_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_April_2001.pdf
2001-05,2001-02,May,1307,,FR_MAY_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_MAY_2001.pdf
2001-06,2001-02,June,1305,,FR_JUNE_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_JUNE_2001.pdf
2001-07,2001-02,July,1304,,FR_JULY_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_JULY_2001.pdf
2001-08,2001-02,August,1300,,FR_AUG_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_AUG_2001.pdf
2001-09,2001-02,September,1310,,FR_SEP_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_SEP_2001.pdf
2001-10,2001-02,October,1309,,FR_OCT_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_OCT_2001.pdf
2001-11,2001-02,November,1308,,FR_NOV_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_NOV_2001.pdf
2001-12,2001-02,December,1301,,FR_DEC_2001.pdf,Content\ArchiveReport\flash\2001-02\FR_DEC_2001.pdf
2002-01,2001-02,January,1303,,FR_JAN_2002.pdf,Content\ArchiveReport\flash\2001-02\FR_JAN_2002.pdf
2002-02,2001-02,February,1302,,FR_FEB_2002.pdf,Content\ArchiveReport\flash\2001-02\FR_FEB_2002.pdf
2002-03,2001-02,March,1306,,FR_MAR_2002.pdf,Content\ArchiveReport\flash\2001-02\FR_MAR_2002.pdf
2002-04,2002-03,April,1160,,FR_Apr_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_Apr_2002.pdf
2002-05,2002-03,May,1168,,FR_MAY_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_MAY_2002.pdf
2002-06,2002-03,June,1166,,FR_JUNE_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_JUNE_2002.pdf
2002-07,2002-03,July,1165,,FR_JULY_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_JULY_2002.pdf
2002-08,2002-03,August,1161,,FR_AUG_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_AUG_2002.pdf
2002-09,2002-03,September,1171,,FR_SEP_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_SEP_2002.pdf
2002-10,2002-03,October,1170,,FR_OCT_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_OCT_2002.pdf
2002-11,2002-03,November,1169,,FR_NOV_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_NOV_2002.pdf
2002-12,2002-03,December,1162,,FR_DEC_2002.pdf,Content\ArchiveReport\flash\2002-03\FR_DEC_2002.pdf
2003-01,2002-03,January,1164,,FR_JAN_2003.pdf,Content\ArchiveReport\flash\2002-03\FR_JAN_2003.pdf
2003-02,2002-03,February,1163,,FR_FEB_2003.pdf,Content\ArchiveReport\flash\2002-03\FR_FEB_2003.pdf
2003-03,2002-03,March,1167,,FR_MAR_2003.pdf,Content\ArchiveReport\flash\2002-03\FR_MAR_2003.pdf
2003-04,2003-04,April,1172,,MonthlyFR_april_2003.pdf,Content\ArchiveReport\flash\2003-04\MonthlyFR_april_2003.pdf
2003-05,2003-04,May,1180,,MonthlyFR_may_2003.pdf,Content\ArchiveReport\flash\2003-04\MonthlyFR_may_2003.pdf
2003-06,2003-04,June,1178,,MonthlyFR_june_2003.pdf,Content\ArchiveReport\flash\2003-04\MonthlyFR_june_2003.pdf
