report_month,ocms_code,sl_no,project_name,sector,agency,state_raw,approval_month,original_doc_month,revised_doc_month,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,latest_approved_cost_cr,approved_revised_doc_month,delay_months_reported,milestones,annexure,source_page
2011-04-01,020100044,1,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",Atomic Energy,BHAVNI,Tamil Nadu,2003-09-01,2010-09-01,2012-01-01,3492,5677,2976.38,,,,16(O),8/80,untitled/10col,30
2011-04-01,020100040,2,KUDANKULAM APP (NPCIL),Atomic Energy,NPCIL,Tamil Nadu,2001-12-01,2008-12-01,2012-03-01,13171,15824,13781,,,,39(O),61/119,untitled/10col,30
2011-04-01,N02000007,3,URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL,Atomic Energy,UCIL,Andhra Pradesh,2007-09-01,2011-04-01,2012-04-01,1106.29,1106.29,965.76,,,,12(R3),0/1,untitled/10col,30
2011-04-01,N04000068,4,CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3,Civil Aviation,AAI,Tamil Nadu,2009-06-01,2010-09-01,2011-03-01,213.35,213.35,60.89,,,,6(O),0/0,untitled/10col,30
2011-04-01,N04000037,5,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT,Civil Aviation,AAI,West Bengal,2008-08-01,2011-05-01,2011-08-01,1942.51,1942.51,1133.06,,,,3(O),0/0,untitled/10col,30
2011-04-01,N04000038,6,D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1),Civil Aviation,AAI,Tamil Nadu,2008-08-01,2011-01-01,2011-10-01,1273,1273,797.2,,,,9(O),0/0,untitled/10col,30
2011-04-01,N04000069,7,Construction of New International Terminal Building,Civil Aviation,AAI,Goa,2010-05-01,2012-05-01,2012-05-01,204.73,204.73,32.5,,,,0(O),0/0,untitled/10col,30
2011-04-01,N04000050,8,C/o new Airport at Pakyong(Sikkim) Airport,Civil Aviation,AAI,Sikkim,2009-01-01,2011-01-01,2012-06-01,264.29,264.29,136.56,,,,17(O),0/0,untitled/10col,30
2011-04-01,N04000065,9,GAGAN PROJECT,Civil Aviation,AAI,Multi State,2008-09-01,2013-06-01,2013-06-01,393.6,393.6,160.29,,,,0(O),0/0,untitled/10col,30
2011-04-01,N04000040,10,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA,Civil Aviation,AAI,Tamil Nadu,2008-01-01,2010-06-01,,535,535,143.97,,,,,0/0,untitled/10col,30
2011-04-01,060100089,11,BARSINGSAR TPS (2X125MW) (NLC),Coal,NLC,Rajasthan,2004-12-01,2009-06-01,2011-06-01,1114.18,1626.09,1587.8,,1626.09,,24(O),59/26,untitled/10col,30
2011-04-01,060100087,12,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),Coal,NLC,Tamil Nadu,2004-10-01,2009-06-01,2012-03-01,2030.78,2453.57,2171.59,,2453.57,,33(O),60/24,untitled/10col,30
2011-04-01,060100092,13,KULDA OCP (MAHANADI COALFIELDS LTD.),Coal,MCL,Orissa,2005-01-01,2010-03-01,2012-03-01,302.96,302.96,76.47,,,2012-03-01,0(R3),0/4,untitled/10col,30
2011-04-01,N06000033,14,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",Coal,NCL,Madhya pradesh,2007-10-01,2012-03-01,2012-03-01,259.4,259.4,1.49,,,,0(O),0/1,untitled/10col,30
2011-04-01,N06000044,15,BALRAM OCP EXTENSION,Coal,MCL,Orissa,2007-12-01,2009-03-01,2012-03-01,172.08,172.08,,,,2010-03-01,24(R3),0/2,untitled/10col,30
2011-04-01,N06000067,16,ANANTA OC EXPANSION PH-III,Coal,MCL,Orissa,2008-08-01,2012-03-01,2012-03-01,207.28,207.28,60.77,,,,0(O),0/0,untitled/10col,30
