legacy_ocms_code,synthetic_project_code,surviving_project_code,reviewed_by,rationale
N18000337,ocms:N18000337,400005,,ocms:N18000337 was minted by the truncated-read run of load-mospi-historical; 400005 is the MoSPI project_code that already carried legacy_ocms_code N18000337
N22000514,ocms:N22000514,400019,,ocms:N22000514 was minted by the truncated-read run of load-mospi-historical; 400019 is the MoSPI project_code that already carried legacy_ocms_code N22000514
N22000558,ocms:N22000558,400023,,ocms:N22000558 was minted by the truncated-read run of load-mospi-historical; 400023 is the MoSPI project_code that already carried legacy_ocms_code N22000558
N06000254,ocms:N06000254,400033,,ocms:N06000254 was minted by the truncated-read run of load-mospi-historical; 400033 is the MoSPI project_code that already carried legacy_ocms_code N06000254
N16000213,ocms:N16000213,400119,,ocms:N16000213 was minted by the truncated-read run of load-mospi-historical; 400119 is the MoSPI project_code that already carried legacy_ocms_code N16000213
N16000247,ocms:N16000247,400120,,ocms:N16000247 was minted by the truncated-read run of load-mospi-historical; 400120 is the MoSPI project_code that already carried legacy_ocms_code N16000247
N06000237,ocms:N06000237,400139,,ocms:N06000237 was minted by the truncated-read run of load-mospi-historical; 400139 is the MoSPI project_code that already carried legacy_ocms_code N06000237
N10000010,ocms:N10000010,400141,,ocms:N10000010 was minted by the truncated-read run of load-mospi-historical; 400141 is the MoSPI project_code that already carried legacy_ocms_code N10000010
N06000193,ocms:N06000193,400142,,ocms:N06000193 was minted by the truncated-read run of load-mospi-historical; 400142 is the MoSPI project_code that already carried legacy_ocms_code N06000193
N06000197,ocms:N06000197,400149,,ocms:N06000197 was minted by the truncated-read run of load-mospi-historical; 400149 is the MoSPI project_code that already carried legacy_ocms_code N06000197
N06000216,ocms:N06000216,400150,,ocms:N06000216 was minted by the truncated-read run of load-mospi-historical; 400150 is the MoSPI project_code that already carried legacy_ocms_code N06000216
N06000218,ocms:N06000218,400151,,ocms:N06000218 was minted by the truncated-read run of load-mospi-historical; 400151 is the MoSPI project_code that already carried legacy_ocms_code N06000218
N06000243,ocms:N06000243,400153,,ocms:N06000243 was minted by the truncated-read run of load-mospi-historical; 400153 is the MoSPI project_code that already carried legacy_ocms_code N06000243
N06000242,ocms:N06000242,400154,,ocms:N06000242 was minted by the truncated-read run of load-mospi-historical; 400154 is the MoSPI project_code that already carried legacy_ocms_code N06000242
N06000247,ocms:N06000247,400155,,ocms:N06000247 was minted by the truncated-read run of load-mospi-historical; 400155 is the MoSPI project_code that already carried legacy_ocms_code N06000247
N06000217,ocms:N06000217,400156,,ocms:N06000217 was minted by the truncated-read run of load-mospi-historical; 400156 is the MoSPI project_code that already carried legacy_ocms_code N06000217
