pc_no,pc_name,pc_reserved,ac_no,ac_name,ac_reserved,confidence,source
1,Kokrajhar,ST,1,Gossaigaon,,high,Table-B p.81
1,Kokrajhar,ST,2,Dotma,ST,high,Table-B p.81
1,Kokrajhar,ST,3,Kokrajhar,ST,high,Table-B p.81
1,Kokrajhar,ST,4,Baokhungri,,high,Table-B p.81
1,Kokrajhar,ST,5,Parbatjhora,,high,Table-B p.81
1,Kokrajhar,ST,19,Sidli,ST,high,Table-B p.81
1,Kokrajhar,ST,20,Bijni,,high,Table-B p.81
1,Kokrajhar,ST,41,Manas,,high,Table-B p.81
1,Kokrajhar,ST,42,Baksa,ST,high,Table-B p.81
2,Dhubri,,6,Golakganj,,high,Table-B p.81
2,Dhubri,,7,Gauripur,,high,Table-B p.81
2,Dhubri,,8,Dhubri,,high,Table-B p.81
2,Dhubri,,9,Birsing Jarua,,high,Table-B p.81
2,Dhubri,,10,Bilasipara,,high,Table-B p.81
2,Dhubri,,11,Mankachar,,high,Table-B p.81
2,Dhubri,,12,Jaleshwar,,high,Table-B p.81
2,Dhubri,,14,Goalpara East,,high,Table-B p.81
2,Dhubri,,17,Srijangram,,high,Table-B p.81
2,Dhubri,,22,Mandia,,high,Table-B p.81
2,Dhubri,,23,Chenga,,high,Table-B p.81
3,Barpeta,,16,Abhayapuri,,high,Table-B p.81
3,Barpeta,,18,Bongaigaon,,high,Table-B p.81
3,Barpeta,,21,Bhowanipur-Sorbhog,,high,Table-B p.81
3,Barpeta,,24,Barpeta,SC,high,Table-B p.81
3,Barpeta,,25,Pakabetbari,,high,Table-B p.81
3,Barpeta,,26,Bajali,,high,Table-B p.81
3,Barpeta,,30,Hajo-Sualkuchi,SC,high,Table-B p.81
3,Barpeta,,38,Barkhetri,,high,Table-B p.81
3,Barpeta,,39,Nalbari,,high,Table-B p.81
3,Barpeta,,40,Tihu,,high,Table-B p.81
4,Darrang-Udalguri,,43,Tamulpur,ST,high,Table-B p.81
4,Darrang-Udalguri,,44,Goreswar,,high,Table-B p.81
4,Darrang-Udalguri,,31,Rangia,,high,Table-B p.81
4,Darrang-Udalguri,,32,Kamalpur,,high,Table-B p.81
4,Darrang-Udalguri,,45,Bhergaon,,high,Table-B p.81
4,Darrang-Udalguri,,46,Udalguri,ST,high,Table-B p.81
4,Darrang-Udalguri,,47,Mazbat,,high,Table-B p.81
4,Darrang-Udalguri,,48,Tangla,,high,Table-B p.81
4,Darrang-Udalguri,,49,Sipajhar,,high,Table-B p.81
4,Darrang-Udalguri,,50,Mangaldai,,high,Table-B p.81
4,Darrang-Udalguri,,51,Dalgaon,,high,Table-B p.81
5,Guwahati,,13,Goalpara West,ST,high,Table-B p.81
5,Guwahati,,15,Dudhnai,ST,high,Table-B p.81
5,Guwahati,,27,Chamaria,,high,Table-B p.81
5,Guwahati,,28,Boko-Chaygaon,ST,high,Table-B p.81
5,Guwahati,,29,Palasbari,,high,Table-B p.81
5,Guwahati,,33,Dispur,,high,Table-B p.81
5,Guwahati,,34,Dimoria,SC,high,Table-B p.81
5,Guwahati,,35,New Guwahati,,high,Table-B p.81
5,Guwahati,,36,Guwahati Central,,high,Table-B p.81
5,Guwahati,,37,Jalukbari,,high,Table-B p.81
6,Diphu,ST,108,Bokajan,ST,high,Table-B p.81
6,Diphu,ST,109,Howarghat,ST,high,Table-B p.81
6,Diphu,ST,110,Diphu,ST,high,Table-B p.81
6,Diphu,ST,111,Rongkhang,ST,high,Table-B p.81
6,Diphu,ST,112,Amri,ST,high,Table-B p.81
6,Diphu,ST,113,Haflong,ST,high,Table-B p.81
7,Karimganj,,121,Hailakandi,,high,Table-B p.81
7,Karimganj,,122,Algapur-Katlicherra,,high,Table-B p.81
7,Karimganj,,123,Karimganj North,,high,Table-B p.81
7,Karimganj,,124,Karimganj South,,high,Table-B p.81
7,Karimganj,,125,Patharkandi,,high,Table-B p.81
7,Karimganj,,126,Ram Krishna Nagar,SC,high,Table-B p.81
8,Silchar,SC,114,Lakhipur,,high,Table-B p.81
8,Silchar,SC,115,Udharbond,,high,Table-B p.81
8,Silchar,SC,116,Katigorah,,high,Table-B p.81
8,Silchar,SC,117,Barkhola,,high,Table-B p.81
8,Silchar,SC,118,Silchar,,high,Table-B p.81
8,Silchar,SC,119,Sonai,,high,Table-B p.81
8,Silchar,SC,120,Dholai,SC,high,Table-B p.81
9,Nagaon,,52,Jagiroad,SC,high,Table-B p.81
9,Nagaon,,53,Laharighat,,high,Table-B p.81
9,Nagaon,,54,Morigaon,,high,Table-B p.81
9,Nagaon,,55,Dhing,,high,Table-B p.81
9,Nagaon,,56,Rupahihat,,high,Table-B p.81
9,Nagaon,,58,Samaguri,,high,Table-B p.81
9,Nagaon,,60,Nagaon-Batadraba,,high,Table-B p.81
9,Nagaon,,61,Raha,SC,high,Table-B p.81
10,Kaziranga,,57,Kaliabor,,high,Table-B p.82
10,Kaziranga,,59,Barhampur,,high,Table-B p.82
10,Kaziranga,,62,Binnakandi,,high,Table-B p.82
10,Kaziranga,,63,Hojai,,high,Table-B p.82
10,Kaziranga,,64,Lumding,,high,Table-B p.82
10,Kaziranga,,103,Golaghat,,high,Table-B p.82
10,Kaziranga,,104,Dergaon,,high,Table-B p.82
10,Kaziranga,,105,Bokakhat,,high,Table-B p.82
10,Kaziranga,,106,Khumtai,,high,Table-B p.82
10,Kaziranga,,107,Sarupathar,,high,Table-B p.82
11,Sonitpur,,65,Dhekiajuli,,high,Table-B p.82
11,Sonitpur,,66,Barchalla,,high,Table-B p.82
11,Sonitpur,,67,Tezpur,,high,Table-B p.82
11,Sonitpur,,68,Rangapara,,high,Table-B p.82
11,Sonitpur,,69,Naduar,,high,Table-B p.82
11,Sonitpur,,70,Biswanath,,high,Table-B p.82
11,Sonitpur,,71,Behali,SC,high,Table-B p.82
11,Sonitpur,,72,Gohpur,,high,Table-B p.82
11,Sonitpur,,73,Bihpuria,,high,Table-B p.82
12,Lakhimpur,,74,Rongonadi,,high,Table-B p.82
12,Lakhimpur,,75,Nowboicha,SC,high,Table-B p.82
12,Lakhimpur,,76,Lakhimpur,,high,Table-B p.82
12,Lakhimpur,,77,Dhakuakhana,ST,high,Table-B p.82
12,Lakhimpur,,78,Dhemaji,ST,high,Table-B p.82
12,Lakhimpur,,79,Sissibargaon,,high,Table-B p.82
12,Lakhimpur,,80,Jonai,ST,high,Table-B p.82
12,Lakhimpur,,81,Sadiya,,high,Table-B p.82
12,Lakhimpur,,82,Doomdooma,,high,Table-B p.82
13,Dibrugarh,,83,Margherita,,high,Table-B p.82
13,Dibrugarh,,84,Digboi,,high,Table-B p.82
13,Dibrugarh,,85,Makum,,high,Table-B p.82
13,Dibrugarh,,86,Tinsukia,,high,Table-B p.82
13,Dibrugarh,,87,Chabua-Lahowal,,high,Table-B p.82
13,Dibrugarh,,88,Dibrugarh,,high,Table-B p.82
13,Dibrugarh,,89,Khowang,,high,Table-B p.82
13,Dibrugarh,,90,Duliajan,,high,Table-B p.82
