bbmp198_no,bbmp198_name,datameet243_no,datameet243_name,bbmp198_share,dm243_share,material,is_primary_for_243
1,Kempegowda Ward,1,Kempegowda Ward,0.90777,0.85787,true,true
1,Kempegowda Ward,11,Byatarayanapura,0.02913,0.03222,false,false
1,Kempegowda Ward,5,Yelahanka Satellite Town,0.0085,0.02261,false,false
1,Kempegowda Ward,2,Chowdeswari Ward,0.00607,0.00762,false,false
1,Kempegowda Ward,6,Kogilu,0,0.00108,false,false
2,Chowdeswari Ward,2,Chowdeswari Ward,0.752,0.82774,true,true
2,Chowdeswari Ward,3,Someshwara Ward,0.076,0.15473,false,false
2,Chowdeswari Ward,5,Yelahanka Satellite Town,0.05067,0.09866,false,false
2,Chowdeswari Ward,1,Kempegowda Ward,0.032,0.02658,false,false
3,Atturu,4,Atturu Layout,0.48527,0.92297,true,true
3,Atturu,3,Someshwara Ward,0.22184,0.57736,true,true
3,Atturu,2,Chowdeswari Ward,0.10745,0.16159,true,false
3,Atturu,15,Kuvempunagar,0.01386,0.02118,false,false
3,Atturu,16,Kammagondanahalli,0.00347,0.01207,false,false
4,Yelahanka Satellite Town,5,Yelahanka Satellite Town,0.72401,0.87359,true,true
4,Yelahanka Satellite Town,3,Someshwara Ward,0.21411,0.26648,true,false
4,Yelahanka Satellite Town,11,Byatarayanapura,0.06064,0.02964,false,false
4,Yelahanka Satellite Town,4,Atturu Layout,0.00124,0,false,false
5,Jakkuru,6,Kogilu,0.66904,0.98593,true,true
5,Jakkuru,8,Jakkuru,0.23829,0.50308,true,true
5,Jakkuru,1,Kempegowda Ward,0.05397,0.11452,false,false
5,Jakkuru,7,Thanisandra,0.01527,0.09019,false,false
6,Thanisandra,8,Jakkuru,0.47967,0.41574,true,false
6,Thanisandra,7,Thanisandra,0.31359,0.75648,true,true
6,Thanisandra,9,Amrutahalli,0.20441,0.52109,true,true
6,Thanisandra,10,Kempapura,0.00232,0.00366,false,false
7,Byatarayanapura,10,Kempapura,0.4296,0.70244,true,true
7,Byatarayanapura,11,Byatarayanapura,0.26955,0.2616,true,false
