bbmp225_no,bbmp225_name_en,bbmp225_name_ka,assembly_constituency,population,datameet243_no,datameet243_name,lgd_ward_code,overlap_confidence,tier,runner_up_243_no,runner_up_share,outside_share,split,samples,method
1,Kempegowda Ward,ಕೆಂಪೇಗೌಡ ವಾರ್ಡ್,YELAHANKA,42913,1,Kempegowda Ward,1303139,0.747,clean,2,0.2532,0,1:0.7468 2:0.2532,154,spatial-overlap
2,Chowdeswari Ward,ಚೌಡೇಶ್ವರಿ ವಾರ್ಡ್,YELAHANKA,42775,2,Chowdeswari Ward,1303140,0.43,true-split,3,0.419,0,2:0.4302 3:0.419 5:0.1173 4:0.0335,179,spatial-overlap
3,Atturu,ಅತ್ತೂರು,YELAHANKA,42569,4,Atturu Layout,1303142,0.607,split-primary,2,0.2321,0,4:0.6071 2:0.2321 3:0.1607,112,spatial-overlap
4,Yelahanka Satellite Town,ಯಲಹಂಕ ಸ್ಯಾಟಲೈಟ್ ಟೌನ್,YELAHANKA,43243,5,Yelahanka Satellite Town,1303143,0.779,clean,3,0.221,0,5:0.779 3:0.221,181,spatial-overlap
5,Kogilu,ಕೋಗಿಲು,BYATARAYANAPURA,40396,6,Kogilu,1303144,0.938,clean,7,0.0309,0.0309,6:0.9381 7:0.0309,194,spatial-overlap
6,Jakkuru,ಜಕ್ಕೂರು,BYATARAYANAPURA,38616,8,Jakkuru,1303146,0.682,split-primary,7,0.1689,0,8:0.6824 7:0.1689 11:0.1486,148,spatial-overlap
7,Thanisandra,ಥಣಿಸಂದ್ರ,BYATARAYANAPURA,37308,8,Jakkuru,1303146,0.681,split-primary,7,0.3189,0,8:0.6811 7:0.3189,185,spatial-overlap
8,Amrutahalli,ಅಮೃತಹಳ್ಳಿ,BYATARAYANAPURA,36446,9,Amrutahalli,1303147,0.901,clean,8,0.0988,0,9:0.9012 8:0.0988,172,spatial-overlap
9,Hebbal Kempapura,ಹೆಬ್ಬಾಳ ಕೆಂಪಾಪುರ,BYATARAYANAPURA,38273,10,Kempapura,1303148,0.892,clean,9,0.1076,0,10:0.8924 9:0.1076,158,spatial-overlap
10,Byatarayanapura,ಬ್ಯಟರಾಯನಪುರ,BYATARAYANAPURA,37010,11,Byatarayanapura,1303149,0.921,clean,13,0.0476,0,11:0.9206 13:0.0476 12:0.0265 10:0.0053,189,spatial-overlap
11,Kodigehalli,ಕೊಡಿಗೇಹಳ್ಳಿ,BYATARAYANAPURA,40183,12,Kodigehalli,1303150,0.925,clean,10,0.0751,0,12:0.9249 10:0.0751,173,spatial-overlap
12,Dodda Bommasandra,ದೊಡ್ಡ ಬೊಮ್ಮಸಂದ್ರ,BYATARAYANAPURA,38279,13,Dodda Bommasandra,1303151,0.96,clean,15,0.0398,0,13:0.9602 15:0.0398,176,spatial-overlap
13,Vidyaranyapura,ವಿದ್ಯಾರಣ್ಯಪುರ,BYATARAYANAPURA,35174,14,Vidyaranyapura,1303152,0.953,clean,15,0.0471,0,14:0.9529 15:0.0471,191,spatial-overlap
14,Kuvempu Nagar,ಕುವೆಂಪು ನಗರ,BYATARAYANAPURA,32614,15,Kuvempunagar,1303153,0.995,clean,14,0.0052,0,15:0.9948 14:0.0052,191,spatial-overlap
15,Kammagondanahalli,ಕಮ್ಮಗೊಂಡನಹಳ್ಳಿ,DASARAHALLI,42954,16,Kammagondanahalli,1303154,0.772,clean,17,0.2281,0,16:0.7719 17:0.2281,114,spatial-overlap
16,Mallasandra,ಮಲ್ಲಸಂದ್ರ,DASARAHALLI,42930,17,Shettihalli,1303155,0.632,split-primary,20,0.3392,0,17:0.6316 20:0.3392 19:0.0292,171,spatial-overlap
17,Chikkasandra,ಚಿಕ್ಕಸಂದ್ರ,DASARAHALLI,37486,17,Shettihalli,1303155,0.747,clean,18,0.2421,0,17:0.7474 18:0.2421 19:0.0105,190,spatial-overlap
