bbmp225_no,datameet243_no,share,is_primary
1,1,0.7468,true
1,2,0.2532,false
2,2,0.4302,true
2,3,0.419,false
2,5,0.1173,false
3,4,0.6071,true
3,2,0.2321,false
3,3,0.1607,false
4,5,0.779,true
4,3,0.221,false
5,6,0.9381,true
6,8,0.6824,true
6,7,0.1689,false
6,11,0.1486,false
7,8,0.6811,true
7,7,0.3189,false
8,9,0.9012,true
9,10,0.8924,true
9,9,0.1076,false
10,11,0.9206,true
11,12,0.9249,true
12,13,0.9602,true
13,14,0.9529,true
14,15,0.9948,true
15,16,0.7719,true
15,17,0.2281,false
16,17,0.6316,true
16,20,0.3392,false
17,17,0.7474,true
17,18,0.2421,false
18,18,0.5763,true
18,19,0.4237,false
19,21,0.6963,true
19,19,0.2741,false
20,22,0.6456,true
20,23,0.1602,false
20,19,0.1165,false
21,24,0.8281,true
21,22,0.1484,false
22,23,0.9016,true
23,25,0.8516,true
23,24,0.1484,false
24,26,0.7513,true
24,25,0.198,false
25,27,1,true
26,28,0.9632,true
27,29,0.8227,true
28,30,0.6416,true
28,31,0.3121,false
29,31,0.8015,true
29,32,0.1832,false
30,32,0.875,true
31,34,0.5839,true
31,35,0.2774,false
31,33,0.1387,false
32,34,0.5298,true
32,33,0.2917,false
32,32,0.1429,false
33,35,1,true
34,38,0.4872,true
34,36,0.2564,false
34,37,0.2115,false
35,38,0.539,true
35,39,0.4043,false
36,40,0.6905,true
36,39,0.3095,false
37,41,0.4522,true
37,40,0.3826,false
37,36,0.113,false
38,36,0.5391,true
38,41,0.3043,false
38,42,0.1565,false
39,42,0.5906,true
39,43,0.3509,false
40,43,0.625,true
40,44,0.375,false
41,45,0.8267,true
41,44,0.1733,false
42,46,0.8047,true
42,44,0.1183,false
43,47,0.7635,true
43,46,0.2365,false
44,48,0.9478,true
45,49,0.9058,true
46,50,0.903,true
47,53,0.835,true
47,54,0.165,false
48,52,0.6337,true
48,54,0.2178,false
49,51,0.6667,true
49,50,0.1939,false
49,52,0.103,false
50,55,0.4783,true
50,54,0.2826,false
50,52,0.2391,false
51,56,0.8372,true
52,57,0.7543,true
52,56,0.2457,false
53,58,0.9296,true
54,59,0.7578,true
54,60,0.2422,false
55,61,0.7032,true
55,59,0.2968,false
56,60,0.9658,true
57,65,0.9086,true
58,61,0.4872,true
58,64,0.3397,false
58,62,0.1603,false
59,62,0.756,true
59,64,0.244,false
60,63,1,true
61,66,0.9276,true
62,67,0.9945,true
63,70,0.8824,true
64,68,0.7476,true
64,69,0.1602,false
65,69,0.8684,true
65,68,0.1211,false
66,71,0.9639,true
67,72,0.8889,true
68,73,1,true
69,74,0.6838,true
69,75,0.3162,false
70,75,0.5989,true
70,76,0.3571,false
71,76,0.6186,true
71,75,0.1443,false
71,78,0.1289,false
71,77,0.1082,false
72,77,0.7135,true
72,74,0.2865,false
73,78,0.4922,true
73,74,0.4609,false
74,79,1,true
75,80,1,true
76,94,0.8053,true
77,95,0.5096,true
77,94,0.4904,false
78,96,0.6706,true
78,98,0.2588,false
79,97,0.9545,true
80,99,0.6136,true
80,98,0.3864,false
81,99,0.6402,true
81,101,0.2222,false
81,100,0.1376,false
82,100,1,true
83,101,0.6244,true
83,98,0.1878,false
83,102,0.1878,false
84,102,0.7807,true
84,98,0.2193,false
85,103,0.8152,true
85,102,0.1848,false
86,82,0.6556,true
86,81,0.3444,false
87,81,0.8028,true
87,83,0.1972,false
88,83,0.7661,true
88,87,0.1228,false
89,84,0.4492,true
89,85,0.4118,false
89,91,0.1337,false
90,86,0.4088,true
90,84,0.3591,false
90,85,0.232,false
91,86,0.675,true
91,87,0.25,false
92,88,0.7727,true
92,87,0.2208,false
93,89,0.7742,true
93,90,0.2258,false
94,90,0.6414,true
94,91,0.3586,false
95,92,0.7032,true
95,90,0.1935,false
95,93,0.1032,false
96,93,0.9769,true
97,104,0.4173,true
97,111,0.378,false
97,105,0.1969,false
98,105,0.4307,true
98,106,0.3416,false
98,110,0.2277,false
99,106,0.4286,true
100,107,0.5155,true
100,108,0.3851,false
101,108,0.9305,true
102,110,0.5,true
102,109,0.3516,false
102,113,0.1484,false
103,110,0.6135,true
103,111,0.2945,false
104,112,0.7863,true
105,113,0.6712,true
105,114,0.3151,false
106,115,0.8723,true
106,114,0.1277,false
107,116,0.9048,true
108,119,0.8301,true
108,118,0.1569,false
109,118,0.8497,true
109,117,0.1503,false
110,117,0.8343,true
110,119,0.1124,false
111,123,0.8973,true
111,122,0.1027,false
112,122,0.7119,true
112,121,0.2881,false
113,120,0.7468,true
113,121,0.2532,false
114,124,0.6532,true
114,121,0.3468,false
115,124,0.5986,true
115,125,0.4014,false
116,126,0.6595,true
116,127,0.3405,false
117,128,0.719,true
117,127,0.1818,false
118,129,0.6875,true
118,128,0.3056,false
119,129,0.6577,true
119,127,0.2081,false
120,130,0.8912,true
120,129,0.1088,false
121,131,1,true
122,132,0.8923,true
122,134,0.1077,false
123,133,0.9865,true
124,134,1,true
125,135,1,true
126,136,0.9241,true
127,137,0.9792,true
128,138,1,true
129,139,0.7688,true
129,140,0.2313,false
130,142,0.7512,true
130,140,0.2293,false
131,143,0.6508,true
131,142,0.3492,false
132,141,0.7255,true
132,140,0.2092,false
133,144,0.8194,true
133,143,0.1181,false
134,145,0.8511,true
134,144,0.1489,false
135,146,0.8108,true
135,147,0.1892,false
136,147,0.4297,true
136,148,0.3047,false
136,146,0.2656,false
137,150,0.6379,true
137,148,0.2989,false
138,149,0.8477,true
138,148,0.1523,false
139,152,0.8058,true
139,150,0.1942,false
140,151,0.7376,true
140,152,0.1348,false
140,150,0.1277,false
141,153,0.587,true
141,154,0.3333,false
142,154,0.6954,true
142,153,0.1777,false
142,155,0.1269,false
143,155,0.7808,true
143,154,0.2192,false
144,156,1,true
145,157,0.8451,true
145,158,0.1549,false
146,158,0.7114,true
146,159,0.2752,false
147,159,0.5174,true
147,161,0.3953,false
148,164,0.5572,true
148,160,0.3234,false
149,159,0.608,true
149,160,0.2443,false
149,162,0.1477,false
150,161,0.78,true
150,162,0.19,false
151,163,0.6491,true
151,162,0.3509,false
152,164,0.6652,true
152,163,0.2304,false
152,162,0.1043,false
153,169,0.6667,true
153,168,0.3333,false
154,167,0.7597,true
154,168,0.2403,false
155,168,0.5622,true
155,169,0.4378,false
156,167,0.7284,true
156,166,0.2716,false
157,165,0.6646,true
157,166,0.3354,false
158,165,0.8693,true
158,170,0.1307,false
159,170,0.9171,true
160,172,0.5243,true
160,171,0.4078,false
161,172,0.4541,true
161,171,0.3913,false
161,174,0.1546,false
162,173,0.6438,true
162,174,0.2876,false
163,174,0.5252,true
163,175,0.4706,false
164,177,0.8355,true
164,175,0.1118,false
165,176,0.9588,true
166,182,0.8565,true
166,183,0.1435,false
167,181,0.6882,true
167,183,0.2941,false
168,183,0.6944,true
168,182,0.1944,false
168,180,0.1111,false
169,181,0.6621,true
169,184,0.3379,false
