pc_code,ac_code,state_ut,pc_no,pc_name,ac_no,ac_name,ac_reserved,district_order,spatial_agrees,spatial_pc
37-1,37-10,Andhra Pradesh,1,Araku,10,Palakonda,ST,Srikakulam,true,Andhra Pradesh 1-Araku
37-1,37-11,Andhra Pradesh,1,Araku,11,Kurupam,ST,Vizianagaram,true,Andhra Pradesh 1-Araku
37-1,37-12,Andhra Pradesh,1,Araku,12,Parvathipuram,SC,Vizianagaram,true,Andhra Pradesh 1-Araku
37-1,37-13,Andhra Pradesh,1,Araku,13,Salur,ST,Vizianagaram,true,Andhra Pradesh 1-Araku
37-1,37-28,Andhra Pradesh,1,Araku,28,Araku Valley,ST,Visakhapatnam,true,Andhra Pradesh 1-Araku
37-1,37-29,Andhra Pradesh,1,Araku,29,Paderu,ST,Visakhapatnam,true,Andhra Pradesh 1-Araku
37-1,37-53,Andhra Pradesh,1,Araku,53,Rampachodovaram,ST,East Godavari,,
37-2,37-1,Andhra Pradesh,2,Srikakulam,1,Ichchapuram,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-2,Andhra Pradesh,2,Srikakulam,2,Palasa,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-3,Andhra Pradesh,2,Srikakulam,3,Tekkali,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-4,Andhra Pradesh,2,Srikakulam,4,Pathapatnam,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-5,Andhra Pradesh,2,Srikakulam,5,Srikakulam,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-6,Andhra Pradesh,2,Srikakulam,6,Amadalavalasa,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-2,37-8,Andhra Pradesh,2,Srikakulam,8,Narasannapeta,GEN,Srikakulam,true,Andhra Pradesh 2-Srikakulam
37-3,37-7,Andhra Pradesh,3,Vizianagaram,7,Etcherla,GEN,Srikakulam,true,Andhra Pradesh 3-Vizianagaram
37-3,37-9,Andhra Pradesh,3,Vizianagaram,9,Rajam,SC,Srikakulam,true,Andhra Pradesh 3-Vizianagaram
37-3,37-14,Andhra Pradesh,3,Vizianagaram,14,Bobbili,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-3,37-15,Andhra Pradesh,3,Vizianagaram,15,Cheepurupalli,GEN,Vizianagaram,,
37-3,37-16,Andhra Pradesh,3,Vizianagaram,16,Gajapathinagaram,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-3,37-17,Andhra Pradesh,3,Vizianagaram,17,Nellimarla,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-3,37-18,Andhra Pradesh,3,Vizianagaram,18,Vizianagaram,GEN,Vizianagaram,true,Andhra Pradesh 3-Vizianagaram
37-4,37-19,Andhra Pradesh,4,Visakhapatnam,19,Srungavarapukota,GEN,Vizianagaram,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-20,Andhra Pradesh,4,Visakhapatnam,20,Bhimli,GEN,Visakhapatnam,,
37-4,37-21,Andhra Pradesh,4,Visakhapatnam,21,Visakhapatnam East,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-22,Andhra Pradesh,4,Visakhapatnam,22,Visakhapatnam South,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-23,Andhra Pradesh,4,Visakhapatnam,23,Visakhapatnam North,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-24,Andhra Pradesh,4,Visakhapatnam,24,Visakhapatnam West,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-4,37-25,Andhra Pradesh,4,Visakhapatnam,25,Gajuwaka,GEN,Visakhapatnam,true,Andhra Pradesh 4-Visakhapatnam
37-5,37-26,Andhra Pradesh,5,Anakapalle,26,Chodavaram,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-27,Andhra Pradesh,5,Anakapalle,27,Madugula,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-30,Andhra Pradesh,5,Anakapalle,30,Anakapalle,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-31,Andhra Pradesh,5,Anakapalle,31,Pendurthi,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-32,Andhra Pradesh,5,Anakapalle,32,Yelamanchili,GEN,,true,Andhra Pradesh 5-Anakapalle
37-5,37-33,Andhra Pradesh,5,Anakapalle,33,Payakaraopet,SC,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-5,37-34,Andhra Pradesh,5,Anakapalle,34,Narsipatnam,GEN,Visakhapatnam,true,Andhra Pradesh 5-Anakapalle
37-6,37-35,Andhra Pradesh,6,Kakinada,35,Tuni,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-36,Andhra Pradesh,6,Kakinada,36,Prathipadu,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-37,Andhra Pradesh,6,Kakinada,37,Pithapuram,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-38,Andhra Pradesh,6,Kakinada,38,Kakinada Rural,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-39,Andhra Pradesh,6,Kakinada,39,Peddapuram,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-41,Andhra Pradesh,6,Kakinada,41,Kakinada City,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-6,37-52,Andhra Pradesh,6,Kakinada,52,Jaggampeta,GEN,East Godavari,true,Andhra Pradesh 6-Kakinada
37-7,37-42,Andhra Pradesh,7,Amalapuram,42,Ramachandrapuram,GEN,East Godavari,true,Andhra Pradesh 7-Amalapuram
37-7,37-43,Andhra Pradesh,7,Amalapuram,43,Mummidivaram,GEN,East Godavari,true,Andhra Pradesh 7-Amalapuram
